year,month,total,minimum,maximum
1934,5,102.10,0.00,31.20
1934,6,57.00,0.00,23.40
1934,7,43.20,0.00,13.50
1934,8,20.80,0.00,11.90
1934,9,50.20,0.00,16.00
1934,10,53.10,0.00,19.30
1934,11,112.20,0.00,29.20
1934,12,0.00,0.00,0.00
1935,1,238.20,0.00,94.00
1935,2,276.50,0.00,203.70
1935,3,788.40,0.00,252.00
1935,4,85.70,0.00,27.90
1935,5,211.00,0.00,61.20
1935,6,18.80,0.00,18.80
1935,7,160.30,0.00,154.70
1935,8,53.80,0.00,16.50
1935,9,0.00,0.00,0.00
1935,10,186.60,0.00,62.50
1935,11,86.10,0.00,18.30
1935,12,12.90,0.00,7.10
1936,1,375.50,0.00,67.80
1936,2,832.00,0.00,193.00
1936,3,262.80,0.00,61.50
1936,4,224.30,0.00,51.60
1936,5,140.90,0.00,25.40
1936,6,250.70,0.00,88.90
1936,7,55.40,0.00,24.10
1936,8,0.00,0.00,0.00
1936,9,152.10,0.00,44.70
1936,10,9.40,0.00,9.40
1936,11,37.20,0.00,13.50
1936,12,189.50,0.00,34.50
1937,1,190.60,0.00,37.10
1937,2,125.70,0.00,60.20
1937,3,329.10,0.00,94.70
1937,4,144.30,0.00,131.10
1937,5,40.40,0.00,40.40
1937,6,0.00,0.00,0.00
1937,7,52.80,0.00,17.80
1937,8,25.30,0.00,11.40
1937,9,39.90,0.00,18.30
1937,10,19.80,0.00,19.80
1937,11,92.00,0.00,51.10
1937,12,111.20,0.00,80.00
1938,8,0.00,0.00,0.00
1938,9,0.00,0.00,0.00
1940,4,101.70,0.00,24.90
1940,5,60.40,0.00,17.80
1940,6,144.20,0.00,43.20
1940,7,37.30,0.00,10.90
1940,8,17.40,0.00,7.10
1941,10,0.00,0.00,0.00
1941,12,121.90,0.00,65.80
1942,1,71.60,0.00,19.30
1942,2,230.30,0.00,45.70
1942,3,158.00,0.00,50.00
1942,4,206.50,0.00,61.00
1942,5,202.10,0.00,63.50
1942,6,163.90,0.00,33.00
1942,7,30.90,0.00,13.20
1942,8,7.90,0.00,6.40
1942,9,76.70,0.00,43.20
1942,10,9.40,0.00,5.60
1942,11,75.50,0.00,45.70
1942,12,474.50,0.00,129.50
1943,1,124.50,0.00,40.60
1943,2,630.70,0.00,190.50
1943,3,167.50,0.00,59.70
1943,4,69.80,0.00,12.70
1943,5,38.40,0.00,10.90
1943,6,29.70,0.00,21.80
1943,7,2.60,0.00,1.30
1943,8,0.00,0.00,0.00
1943,9,101.00,0.00,40.60
1943,10,28.00,0.00,13.50
1943,11,9.40,0.00,3.80
1943,12,104.90,0.00,43.20
1944,1,106.40,0.00,22.90
1944,2,691.50,0.00,139.70
1944,3,272.70,0.00,92.70
1944,4,92.20,0.00,38.10
1944,5,10.70,0.00,10.70
1944,6,124.20,0.00,43.90
1944,7,99.40,0.00,44.50
1944,8,30.10,0.00,13.50
1944,9,81.80,0.00,16.50
1944,10,56.20,0.00,17.80
1944,11,29.70,0.00,15.20
1944,12,121.80,0.00,32.50
1945,1,564.00,0.00,210.80
1945,2,853.60,0.00,274.30
1945,3,1297.50,0.00,184.20
1945,4,207.90,0.00,65.80
1945,5,205.30,0.00,95.30
1945,6,68.30,0.00,23.40
1945,7,90.90,0.00,14.00
1945,8,5.60,0.00,3.60
1945,9,1.30,0.00,1.30
1945,10,22.90,0.00,12.70
1945,11,40.20,0.00,7.60
1945,12,263.50,0.00,114.30
1946,1,280.40,0.00,88.90
1946,2,496.40,0.00,86.40
1946,3,214.70,0.00,102.90
1946,4,21.60,0.00,12.20
